Designator,Value,Footprint,Mid X,Mid Y,Rotations,Layer
C1,10nF,C_0402_1005Metric,120.1405,-39.7035,90,bottom
C2,10nF,C_0402_1005Metric,121.2835,-39.7035,90,bottom
C3,10nF,C_0402_1005Metric,124.7125,-39.7035,90,bottom
C4,10nF,C_0402_1005Metric,125.8555,-39.7035,90,bottom
C5,10nF,C_0402_1005Metric,122.4265,-39.7035,90,bottom
C6,10nF,C_0402_1005Metric,123.5695,-39.7035,90,bottom
C7,10nF,C_0402_1005Metric,126.9985,-39.7035,90,bottom
C8,10nF,C_0402_1005Metric,128.1415,-39.7035,90,bottom
C9,10nF,C_0402_1005Metric,110.933,-39.7035,90,bottom
C10,10nF,C_0402_1005Metric,112.076,-39.7035,90,bottom
C11,10nF,C_0402_1005Metric,115.505,-39.7035,90,bottom
C12,10nF,C_0402_1005Metric,116.648,-39.7035,90,bottom
C13,10nF,C_0402_1005Metric,113.219,-39.7035,90,bottom
C14,10nF,C_0402_1005Metric,114.362,-39.7035,90,bottom
C15,10nF,C_0402_1005Metric,117.791,-39.7035,90,bottom
C16,10nF,C_0402_1005Metric,118.934,-39.7035,90,bottom
C17,10nF,C_0402_1005Metric,101.789,-39.7035,90,bottom
C18,10nF,C_0402_1005Metric,102.932,-39.7035,90,bottom
C19,10nF,C_0402_1005Metric,106.361,-39.7035,90,bottom
C20,10nF,C_0402_1005Metric,107.504,-39.7035,90,bottom
C21,10nF,C_0402_1005Metric,104.075,-39.7035,90,bottom
C22,10nF,C_0402_1005Metric,105.218,-39.7035,90,bottom
C23,10nF,C_0402_1005Metric,108.647,-39.7035,90,bottom
C24,10nF,C_0402_1005Metric,109.79,-39.7035,90,bottom
C25,100nF,C_0603_1608Metric,193.31,-43.9585,0,bottom
C26,68uF,CP_Elec_8x10,199.75,-32.95,90,bottom
C27,1uF,C_0603_1608Metric,197.9775,-41.6575,0,bottom
C28,100nF,C_0603_1608Metric,197.9775,-39.6255,0,bottom
C29,22uF,C_1210_3225Metric,196.75,-22.15,0,bottom
C30,4.7uF,C_0603_1608Metric,196,-25.1,0,bottom
C31,12pF,C_0402_1005Metric,159.9,-47.2,135,bottom
C32,12pF,C_0402_1005Metric,157.6,-52.65,90,bottom
C33,10nF,C_0402_1005Metric,184.65,-29.2,90,bottom
C34,10nF,C_0402_1005Metric,184.35,-21.5,90,bottom
C35,2.2uF,C_0603_1608Metric,133.95,-41.15,45,bottom
C36,2.2uF,C_0603_1608Metric,143.75,-20.5,315,bottom
C37,10nF,C_0402_1005Metric,154.6,-52.4,270,bottom
C38,10nF,C_0402_1005Metric,147.7,-52.5,135,bottom
C39,10nF,C_0402_1005Metric,144.8,-19.3,315,bottom
C40,10nF,C_0402_1005Metric,157.8,-23.45,225,bottom
C41,10nF,C_0402_1005Metric,153.4,-52.4,90,bottom
C42,100nF,C_0603_1608Metric,153.3,-19.15,270,bottom
C43,10nF,C_0402_1005Metric,161.35,-26.95,225,bottom
C44,10nF,C_0402_1005Metric,164.8,-41.7,135,bottom
C45,10nF,C_0402_1005Metric,136.3,-43.6,45,bottom
C46,10nF,C_0402_1005Metric,140.05,-24.2,315,bottom
C47,10nF,C_0402_1005Metric,165.65,-31.8,225,bottom
C48,10nF,C_0402_1005Metric,140.2,-47.2,45,bottom
C49,10nF,C_0402_1005Metric,136.05,-28.05,315,bottom
C50,10nF,C_0402_1005Metric,166.45,-32.6,225,bottom
C51,10nF,C_0402_1005Metric,132.8,-40,45,bottom
C52,10nF,C_0402_1005Metric,162.2,-44.9,315,bottom
C53,4.7uF,C_0603_1608Metric,156.1,-52.3,270,bottom
C54,100nF,C_0603_1608Metric,190.25,-31.55,180,bottom
C55,33pF,C_0402_1005Metric,193.9,-29.15,180,bottom
C56,10nF,C_0402_1005Metric,188.05,-43.8,270,bottom
D1,SM15T33CA,D_SMC,200.3585,-48.1495,90,bottom
D2,D_Schottky,D_SOD-123,193.31,-49.2925,270,bottom
D3,PESD1CAN-UX,SOT-323_SC-70,181.4,-44.95,270,bottom
D4,D_Schottky,D_SMA,192.7,-18.2,0,bottom
IC1,MP2451DT-LF-Z,SOT95P280X145-6N,193,-35.65,270,bottom
